latency,duration,type,marker_value,key,timestamp,marker_id
95.373119,0,videos\1_excited\1_motorsports\kenMiles.mp4,videos\1_excited\1_motorsports\kenMiles.mp4,-1,1713362820,1
163.744559,0,rating,rating,-1,1713362889,2
173.284215,0,neutralVideo,neutralVideo,-1,1713362898,3
238.647655,0,videos\2_happy\scooby.mp4,videos\2_happy\scooby.mp4,-1,1713362963,4
298.862338,0,rating,rating,-1,1713363024,5
305.229921,0,neutralVideo,neutralVideo,-1,1713363030,6
370.577735,0,videos\3_motivated\motivationalAuthor.mp4,videos\3_motivated\motivationalAuthor.mp4,-1,1713363095,7
438.660095,0,rating,rating,-1,1713363163,8
445.316759,0,neutralVideo,neutralVideo,-1,1713363170,9
510.547378,0,videos\4_relaxed\2_nature\waterfall.mp4,videos\4_relaxed\2_nature\waterfall.mp4,-1,1713363235,10
571.090206,0,rating,rating,-1,1713363296,11
577.481229,0,neutralVideo,neutralVideo,-1,1713363302,12
642.625905,0,videos\5_sad\1_animals\saddogs.mp4,videos\5_sad\1_animals\saddogs.mp4,-1,1713363367,13
705.645449,0,rating,rating,-1,1713363430,14
713.825646,0,neutralVideo,neutralVideo,-1,1713363439,15
778.993761,0,videos\6_horror\conjuring.mp4,videos\6_horror\conjuring.mp4,-1,1713363504,16
843.911861,0,rating,rating,-1,1713363569,17
851.982676,0,neutralVideo,neutralVideo,-1,1713363577,18
917.244547,0,videos\7_disgusted\trainspotting.mp4,videos\7_disgusted\trainspotting.mp4,-1,1713363642,19
977.295157,0,rating,rating,-1,1713363702,20
982.522044,0,neutralVideo,neutralVideo,-1,1713363707,21
1047.807355,0,videos\8_angry\1_animals\angrydogs.mp4,videos\8_angry\1_animals\angrydogs.mp4,-1,1713363773,22
1113.178608,0,rating,rating,-1,1713363838,23
1119.077412,0,neutralVideo,neutralVideo,-1,1713363844,24
